"Division","Section","Department","Machine","Machine Number","Asset","Job Card No","Complaint","Complaint Category","Priority","Technician","Maintenance Type","Waiting Time","Working Time","Downtime","Approval Status","Current Status","Open Date","Close Date"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000013","qw","Mechanical Failure","Medium","ARIF, ARSALAN","Preventive Maintenance","10h 27m","10d 3h 14m","10d 13h 42m","Approved","APPROVED","2026-07-13T05:22:51.000Z","2026-07-23T19:05:18.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000014","cbnnnnnn","Electrical Failure","Medium","ARSALAN, ASHRAF","Preventive Maintenance","9d 6h 11m","1d 7h 28m","10d 13h 40m","Approved","APPROVED","2026-07-13T05:51:41.000Z","2026-07-23T19:32:28.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000015"," Start Job Card — Open Jobs
All Departments
All Priority
","Electrical Failure","Medium","ARSALAN, ASHRAF","Preventive Maintenance","9d 1h 5m","1d 7h 30m","10d 8h 35m","Approved","APPROVED","2026-07-13T10:58:57.000Z","2026-07-23T19:34:47.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000016","ddddddd","Electrical Failure","Critical","ARSALAN, JAVED","Breakdown Maintenance","9d 0h 50m","1d 3h 17m","10d 4h 7m","Approved","APPROVED","2026-07-13T15:51:59.000Z","2026-07-23T19:59:53.000Z"
"Spoke Division","Spoke","Spoke Plating","MCH003","","AST003","JC-2026-000017","Vgghhb","Electrical Failure","High","ARSALAN, ASHRAF","Breakdown Maintenance","7d 11h 55m","1d 2h 45m","8d 14h 40m","Approved","APPROVED","2026-07-15T05:24:00.000Z","2026-07-23T20:04:47.000Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000018","vvvvvv","Electrical Failure","Medium","ARSALAN, JAVED","Breakdown Maintenance","6d 10h 46m","15h 4m","7d 1h 50m","","PENDING","2026-07-16T18:14:54.000Z","2026-07-23T20:05:48.000Z"
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000019","as","Electrical Failure","Medium","ARSALAN, JAVED","Breakdown Maintenance","6d 10h 41m","4d 5h 40m","10d 16h 21m","","PENDING","2026-07-16T18:21:12.000Z","2026-07-27T10:42:52.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000020","pk","Mechanical Failure","Low","JAVED, MEHMOUD, ARSALAN","Breakdown Maintenance","6d 9h 29m","5d 2h 44m","11d 12h 14m","Approved","APPROVED","2026-07-16T19:34:34.000Z","2026-07-28T07:48:43.000Z"
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000021","www","Electrical Failure","Low","ARSALAN, MEHMOUD","Breakdown Maintenance","6d 7h 5m","0m","0m","","RUNNING","2026-07-17T02:36:05.000Z",""
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000022","DDDDDDDDD","Electrical Failure","Medium","ARSALAN, ASHRAF","Breakdown Maintenance","5d 22h 10m","0m","0m","","RUNNING","2026-07-17T12:00:10.000Z",""
"Spoke Division","Spoke","Spoke","Hydraulic Press","","AST002","JC-2026-000023","AAAAAAAAAAAA","Electrical Failure","Low","ARSALAN, MEHMOUD, MOEES","Breakdown Maintenance","5d 17h 12m","0m","0m","","RUNNING","2026-07-17T16:59:28.000Z",""
"Spoke Division","Spoke","Spoke","CNC Milling Machine","","AST001","JC-2026-000024","SSSSSSSSSSSSS","Mechanical Failure","Medium","ARSALAN, JAVED","Breakdown Maintenance","4d 10h 39m","0m","0m","","RUNNING","2026-07-19T08:09:00.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST001","JC-2026-000025","KKKK","Mechanical Failure","Medium","ARSALAN, ZUBAIR","Breakdown Maintenance","1d 6h 55m","0m","0m","","RUNNING","2026-07-22T11:55:07.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST007","JC-2026-000026","VBVBVBVB","Mechanical Failure","Medium","ARSALAN, MEHMOUD","Breakdown Maintenance","1d 2h 14m","0m","0m","","RUNNING","2026-07-22T17:12:14.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST001","JC-2026-000027","MNMNMN","Electrical Failure","Medium","ASHRAF, MEHMOUD","Breakdown Maintenance","1d 1h 50m","0m","0m","","RUNNING","2026-07-22T17:38:04.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST001","JC-2026-000028","HHHHH","Electrical Failure","Medium","ARIF, ASHRAF","Breakdown Maintenance","14h 56m","0m","0m","","RUNNING","2026-07-23T04:34:50.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST007","JC-2026-000029","DDDDDDDDD","Mechanical Failure","Medium","ARIF, ASHRAF","Breakdown Maintenance","15h 4m","0m","0m","","RUNNING","2026-07-23T04:50:59.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST004","JC-2026-000030","OOOOOOOO","Electrical Failure","Medium","ARSALAN, JAVED","Breakdown Maintenance","14h 56m","0m","0m","","RUNNING","2026-07-23T04:59:40.000Z",""
"Spoke Division","Spoke","Spoke","Spoke","SP # 07","AST014","JC-2026-000031","UUUUUUUUU","Electrical Failure","Medium","MEHMOUD, ASHRAF, ZUBAIR, ARSALAN","Breakdown Maintenance","14h 57m","0m","0m","","RUNNING","2026-07-23T05:00:27.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST007","JC-2026-000032","DDDDD","Electrical Failure","Medium","ARSALAN, MEHMOUD","Breakdown Maintenance","2d 9h 50m","2d 16h 23m","5d 2h 13m","","PENDING","2026-07-23T05:30:36.000Z","2026-07-28T07:44:25.000Z"
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST003","JC-2026-000033","YYYYYYYY","Electrical Failure","High","ARSALAN, JAVED","Breakdown Maintenance","5d 1h 52m","0m","0m","","RUNNING","2026-07-23T06:47:11.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000034","RRRRRR","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T07:33:29.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000035","EEEEEEEEE","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T07:40:51.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000036","WWWWWW","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T08:17:01.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000037","EEEEEEE","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T08:18:40.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000038","ZZZZZZZZZZ","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T08:25:38.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000039","CCCCCCCC","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T08:32:33.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST004","JC-2026-000040","GGGGGGG","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T08:34:24.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST009","JC-2026-000041","BBBBBBB","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T09:03:04.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST009","JC-2026-000042","UUUUU","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T09:33:19.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST007","JC-2026-000043","GGGGGGG","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T09:51:55.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000044","PPPPPP","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T11:33:07.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST009","JC-2026-000045","FFFFFF","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T12:02:37.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST007","JC-2026-000046","FFFFFFFDDDDD","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T12:29:47.000Z",""
"Spoke Division","Spoke","Spoke","Spoke","SP # 07","AST013","JC-2026-000047","AAAAABBBBBBBBCCCCCCCCCC","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T12:40:39.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST007","JC-2026-000048","YYYYUUUUU","Hydraulic Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T13:04:32.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000049","ASD","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T13:19:00.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000050","AABBCC","Mechanical Failure","Medium","ARSALAN, ASHRAF","Breakdown Maintenance","2d 1h 56m","0m","0m","","RUNNING","2026-07-23T13:21:38.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000051","ZZXXAA","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T17:59:45.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST001","JC-2026-000052","AZAZAZA","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T18:07:59.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000053","CCVVBB","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T18:21:14.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000054","ZZFFVV","Electrical Failure","Low","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T18:23:14.000Z",""
"Spoke Division","Spoke","Spoke","Spoke","SP # 07","AST012","JC-2026-000055","FFDDGG","Pneumatic Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-23T18:47:31.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST006","JC-2026-000056","RRFFVV","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-24T09:38:57.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000057"," Breakdown Type *","Electrical Failure","Medium","ASHRAF, MEHMOUD","Breakdown Maintenance","2h 5m","0m","0m","","OPEN","2026-07-25T08:23:57.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000058","LLLLLLL","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-25T14:39:22.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST002","JC-2026-000059","DSDSD","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-25T17:55:07.000Z",""
"Spoke Division","Spoke","Swagging","Swagging","SW # 06","AST008","JC-2026-000060","FGGGGG","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-28T08:39:12.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST001","JC-2026-000061","kkkkk","Hydraulic Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-30T16:10:45.000Z",""
"Spoke Division","Auto Plating","Spoke Plating","Barrel","BL # 12","AST019","JC-2026-000062","SDSDSD","Electrical Failure","Medium","","Breakdown Electrical","0m","0m","0m","","OPEN","2026-07-30T18:10:15.000Z",""
"Spoke Division","Auto Plating","Nipple Plating","Barrel","BL # 12","AST021","JC-2026-000063","ERERERER","Mechanical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-30T18:12:16.000Z",""
"Control Cable Division","Spiral","Flattening","Flattening","FT# 05","AST033","JC-2026-000064","CCD","Mechanical Failure","Low","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-07-30T18:21:07.000Z",""
"Spoke Division","Spoke","Straightener","Straightener","SP # 05","AST001","JC-2026-000065","KLKLKKL","Electrical Failure","Medium","","Breakdown Maintenance","0m","0m","0m","","OPEN","2026-08-06T20:01:26.000Z",""
